_generated_by,openspec/changes/left-column-pattern/evidence/headline-facts.py
_note,synthetic — every row is read from a served QA store generated by scripts/gen_qa_e2e_db.py; no patient data. Columns prefixed ref_ are reference-only (Finding case file) and are never template slots.
source,window_key,window_label,start_min,end_min,id,register,kind,title,priority,tier,parameter,label,span,direction,asserts_move,lean,current,recommended,estimate,support,reason,annotation,members,lever,appearances,episodes,evidence,verdict_counts,verdict_counts_by_family,chips,window_scope,past_setting,programmed_now,regime_end,run_ids,event_chart,ev_family,ev_roster_count,ev_directional_support_count,ev_excluded_night_count,ev_roster_glucose_mean,ev_safety_status,ev_current,ev_recommended,ev_estimate,ev_detected_windows,ev_qualifying_windows,ev_qualifying_steps,ev_direction,ev_block_state,ev_support,ev_effective_support,ev_examined_runs,ev_excluded_runs,ref_claimed,ref_denominator,ref_noun,ref_verdict_counts,ref_event_anchor,ref_event_counts,ref_comparison
showcase,overnight,Overnight,0,360,basal:180-240,assert,setting,Basal 03:00 to 04:00 · lower,55,next_in_line,basal_rate,03:00 to 04:00,"{""end_min"": 240, ""label"": ""03:00 to 04:00"", ""start_min"": 180}",lower,,,,,,"{""n"": 30, ""noun"": ""nights of steady data"", ""run_days"": 30}",,one cautious step down is supported at this time,"[{""current"": 0.6, ""days"": 30, ""estimate"": {""confidence"": 0.8, ""hi"": 0.48, ""lo"": 0.48, ""method"": ""bootstrap-median"", ""n"": 30, ""value"": 0.48, ""wide"": false}, ""recommended"": 0.48, ""start_min"": 180}, {""current"": 0.6, ""days"": 30, ""estimate"": {""confidence"": 0.8, ""hi"": 0.48, ""lo"": 0.48, ""method"": ""bootstrap-median"", ""n"": 30, ""value"": 0.48, ""wide"": false}, ""recommended"": 0.48, ""start_min"": 210}]",,,,,,,"[""lows""]",window,,,,,,basal_night_evidence,30,30,0,120.0,lower,0.6,0.48,"{""confidence"": 0.8, ""hi"": 0.48, ""lo"": 0.48, ""value"": 0.48}",,,,,,,,,,,,,,,,
showcase,overnight,Overnight,0,360,isf,held,setting,ISF,,noted,isf,Fasting,,,False,,40.0,,"{""confidence"": 0.8, ""hi"": -0.0, ""lo"": -0.0, ""method"": ""bootstrap-ols-isf-clustered"", ""n"": 3426, ""n_clusters"": 29, ""value"": -0.0, ""wide"": false}","{""n"": 29, ""noun"": ""fasting nights"", ""run_days"": 30}",rescue-carb history doesn't cover this window,rescue-carb history doesn't cover this window,,,,,,,,[],whole_day,,,,,,isf_rest_window_evidence,,,,,,,,,29,29,3426,,,,,,,,,,,,,
showcase,overnight,Overnight,0,360,ich1_WzAsMTQ0MCwiMTIiXQ,history,setting,Carb ratio All day. Past setting.,,noted,carb_ratio,All day,"{""end_min"": 1440, ""label"": ""00:00 to 24:00"", ""start_min"": 0}",,,,,,"{""confidence"": 0.8, ""hi"": 12.0, ""lo"": 12.0, ""method"": ""bootstrap-pooled-ratio-clustered"", ""n"": 14, ""n_clusters"": 14, ""value"": 12.0, ""wide"": false}",14,,"When Carb ratio was 12 g/U, 14 meal runs measured 12 g/U (CI 12–12). Past setting. No change suggested.",,,,,,,,[],window,12.0,10.0,2024-06-16T00:00:00,"[""icr1_WyIyMDI0LTA2LTAyVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTAzVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA0VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA1VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA2VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA3VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA4VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA5VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTEwVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTExVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTEyVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTEzVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTE0VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTE1VDA4OjAwOjAwIl0""]",,,,,,,,,,,,,,,,,,,,,,,,,,
showcase,morning,Morning,360,720,isf,held,setting,ISF,,noted,isf,Fasting,,,False,,40.0,,"{""confidence"": 0.8, ""hi"": -0.0, ""lo"": -0.0, ""method"": ""bootstrap-ols-isf-clustered"", ""n"": 3426, ""n_clusters"": 29, ""value"": -0.0, ""wide"": false}","{""n"": 29, ""noun"": ""fasting nights"", ""run_days"": 30}",rescue-carb history doesn't cover this window,rescue-carb history doesn't cover this window,,,,,,,,[],whole_day,,,,,,isf_rest_window_evidence,,,,,,,,,29,29,3426,,,,,,,,,,,,,
showcase,morning,Morning,360,720,basal:480-630,blind,setting,Basal 08:00 to 10:30,,noted,basal_rate,08:00 to 10:30,"{""end_min"": 630, ""label"": ""08:00 to 10:30"", ""start_min"": 480}",,,,,,,"{""n"": 0, ""noun"": ""nights of steady data"", ""run_days"": 30}",no data,no nights of steady data at this time yet,"[{""current"": 0.6, ""days"": 0, ""estimate"": {""confidence"": 0.8, ""hi"": null, ""lo"": null, ""method"": ""none"", ""n"": 0, ""value"": null, ""wide"": true}, ""recommended"": null, ""start_min"": 480}, {""current"": 0.6, ""days"": 0, ""estimate"": {""confidence"": 0.8, ""hi"": null, ""lo"": null, ""method"": ""none"", ""n"": 0, ""value"": null, ""wide"": true}, ""recommended"": null, ""start_min"": 510}, {""current"": 0.6, ""days"": 0, ""estimate"": {""confidence"": 0.8, ""hi"": null, ""lo"": null, ""method"": ""none"", ""n"": 0, ""value"": null, ""wide"": true}, ""recommended"": null, ""start_min"": 540}, {""current"": 0.6, ""days"": 0, ""estimate"": {""confidence"": 0.8, ""hi"": null, ""lo"": null, ""method"": ""none"", ""n"": 0, ""value"": null, ""wide"": true}, ""recommended"": null, ""start_min"": 570}, {""current"": 0.6, ""days"": 0, ""estimate"": {""confidence"": 0.8, ""hi"": null, ""lo"": null, ""method"": ""none"", ""n"": 0, ""value"": null, ""wide"": true}, ""recommended"": null, ""start_min"": 600}]",,,,,,,[],window,,,,,,basal_night_evidence,0,0,30,,no data,0.6,,"{""confidence"": 0.8, ""hi"": null, ""lo"": null, ""value"": null}",,,,,,,,,,,,,,,,
showcase,morning,Morning,360,720,ich1_WzAsMTQ0MCwiMTIiXQ,history,setting,Carb ratio All day. Past setting.,,noted,carb_ratio,All day,"{""end_min"": 1440, ""label"": ""00:00 to 24:00"", ""start_min"": 0}",,,,,,"{""confidence"": 0.8, ""hi"": 12.0, ""lo"": 12.0, ""method"": ""bootstrap-pooled-ratio-clustered"", ""n"": 14, ""n_clusters"": 14, ""value"": 12.0, ""wide"": false}",14,,"When Carb ratio was 12 g/U, 14 meal runs measured 12 g/U (CI 12–12). Past setting. No change suggested.",,,,,,,,[],window,12.0,10.0,2024-06-16T00:00:00,"[""icr1_WyIyMDI0LTA2LTAyVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTAzVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA0VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA1VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA2VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA3VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA4VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA5VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTEwVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTExVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTEyVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTEzVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTE0VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTE1VDA4OjAwOjAwIl0""]",,,,,,,,,,,,,,,,,,,,,,,,,,
showcase,afternoon,Afternoon,720,1080,finding:over_treated_low,finding,habit,Over-treated low,22,worth_a_look,,,,,,,,,,,,,,over_treated_low,"[{""family"": ""lows"", ""m"": 4, ""n"": 1, ""noun"": ""lows""}]",1,"[{""date"": ""2024-06-26"", ""ep_id"": ""2024-06-26-ep27"", ""family"": ""lows"", ""kind"": ""low"", ""t"": ""2024-06-26 13:55:00"", ""verdict"": ""fired""}, {""date"": ""2024-06-27"", ""ep_id"": ""2024-06-27-ep28"", ""family"": ""lows"", ""kind"": ""low"", ""t"": ""2024-06-27 12:10:00"", ""verdict"": ""near_miss""}, {""date"": ""2024-06-28"", ""ep_id"": ""2024-06-28-ep29"", ""family"": ""lows"", ""kind"": ""low"", ""t"": ""2024-06-28 12:10:00"", ""verdict"": ""clean""}, {""date"": ""2024-06-28"", ""ep_id"": ""2024-06-28-ep30"", ""family"": ""lows"", ""kind"": ""low"", ""t"": ""2024-06-28 16:10:00"", ""verdict"": ""no_data""}]","{""clean"": 1, ""fired"": 1, ""near_miss"": 1, ""no_data"": 1, ""outranked"": 0}","{""lows"": {""clean"": 1, ""fired"": 1, ""near_miss"": 1, ""no_data"": 1, ""outranked"": 0}}","[""highs""]",window,,,,,"{""lever"": ""over_treated_low"", ""window"": {""end_min"": 1080, ""label"": ""12:00\u201318:00"", ""scoped"": true, ""start_min"": 720}}",,,,,,,,,,,,,,,,,,,1,4,lows,"{""clean"": 1, ""fired"": 1, ""near_miss"": 1, ""no_data"": 1, ""outranked"": 0}",Low excursion,"{""comparison"": 2, ""matched"": 1, ""nearly_matched"": 1, ""not_comparable"": 2}","{""name"": ""Other low excursions"", ""state"": ""available""}"
showcase,afternoon,Afternoon,720,1080,finding:meal_bolus_short,finding,habit,Meal bolus fell short,,noted,,,,,,,,,,,,,,meal_bolus_short,"[{""family"": ""meals"", ""m"": 32, ""n"": 1, ""noun"": ""meals""}]",1,"[{""date"": ""2024-06-25"", ""ep_id"": ""2024-06-25-ep25"", ""family"": ""highs"", ""kind"": ""high"", ""t"": ""2024-06-25 14:00:00"", ""verdict"": ""fired""}, {""date"": ""2024-06-26"", ""ep_id"": ""2024-06-26-ep27"", ""family"": ""highs"", ""kind"": ""high"", ""t"": ""2024-06-26 14:35:00"", ""verdict"": ""near_miss""}]","{""clean"": 0, ""fired"": 1, ""near_miss"": 1, ""no_data"": 0, ""outranked"": 0}","{""highs"": {""clean"": 0, ""fired"": 1, ""near_miss"": 1, ""no_data"": 0, ""outranked"": 0}}","[""highs"", ""meals""]",window,,,,,,,,,,,,,,,,,,,,,,,,1,1,meals,"{""clean"": 0, ""fired"": 1, ""near_miss"": 0, ""no_data"": 0, ""outranked"": 0}",Completed carb bolus,"{""comparison"": 0, ""matched"": 1, ""nearly_matched"": 0, ""not_comparable"": 0}","{""name"": ""Other completed carb-bolus meals"", ""state"": ""unavailable""}"
showcase,afternoon,Afternoon,720,1080,isf,held,setting,ISF,,noted,isf,Fasting,,,False,,40.0,,"{""confidence"": 0.8, ""hi"": -0.0, ""lo"": -0.0, ""method"": ""bootstrap-ols-isf-clustered"", ""n"": 3426, ""n_clusters"": 29, ""value"": -0.0, ""wide"": false}","{""n"": 29, ""noun"": ""fasting nights"", ""run_days"": 30}",rescue-carb history doesn't cover this window,rescue-carb history doesn't cover this window,,,,,,,,[],whole_day,,,,,,isf_rest_window_evidence,,,,,,,,,29,29,3426,,,,,,,,,,,,,
showcase,afternoon,Afternoon,720,1080,ich1_WzAsMTQ0MCwiMTIiXQ,history,setting,Carb ratio All day. Past setting.,,noted,carb_ratio,All day,"{""end_min"": 1440, ""label"": ""00:00 to 24:00"", ""start_min"": 0}",,,,,,"{""confidence"": 0.8, ""hi"": 12.0, ""lo"": 12.0, ""method"": ""bootstrap-pooled-ratio-clustered"", ""n"": 14, ""n_clusters"": 14, ""value"": 12.0, ""wide"": false}",14,,"When Carb ratio was 12 g/U, 14 meal runs measured 12 g/U (CI 12–12). Past setting. No change suggested.",,,,,,,,[],window,12.0,10.0,2024-06-16T00:00:00,"[""icr1_WyIyMDI0LTA2LTAyVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTAzVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA0VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA1VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA2VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA3VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA4VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTA5VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTEwVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTExVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTEyVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTEzVDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTE0VDA4OjAwOjAwIl0"", ""icr1_WyIyMDI0LTA2LTE1VDA4OjAwOjAwIl0""]",,,,,,,,,,,,,,,,,,,,,,,,,,
